r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
2.4800000000000000e-01,2.4227359256001471e-01,2.5804227402199958e-01
2.4900000000000000e-01,2.4275790090832414e-01,2.5865781739472532e-01
2.5000000000000000e-01,2.4323934305223008e-01,2.5927108454835512e-01
2.5100000000000000e-01,2.4371793425003019e-01,2.5988209150018143e-01
2.5200000000000000e-01,2.4419368959745857e-01,2.6049085410834300e-01
2.5300000000000000e-01,2.4466662402963016e-01,2.6109738807376631e-01
2.5400000000000000e-01,2.4513675232295237e-01,2.6170170894208172e-01
2.5500000000000000e-01,2.4560408909700551e-01,2.6230383210551328e-01
2.5600000000000001e-01,2.4606864881638915e-01,2.6290377280474364e-01
2.5700000000000001e-01,2.4653044579254010e-01,2.6350154613075394e-01
2.5800000000000001e-01,2.4698949418552066e-01,2.6409716702663932e-01
2.5900000000000001e-01,2.4744580800578569e-01,2.6469065028939925e-01
2.6000000000000001e-01,2.4789940111592609e-01,2.6528201057170470e-01
2.6100000000000001e-01,2.4835028723239422e-01,2.6587126238364100e-01
2.6200000000000001e-01,2.4879847992721449e-01,2.6645842009442738e-01
2.6300000000000001e-01,2.4924399262967389e-01,2.6704349793411347e-01
2.6400000000000001e-01,2.4968683862799965e-01,2.6762650999525289e-01
2.6500000000000001e-01,2.5012703107101431e-01,2.6820747023455388e-01
2.6600000000000001e-01,2.5056458296977224e-01,2.6878639247450858e-01
2.6700000000000002e-01,2.5099950719917108e-01,2.6936329040499934e-01
2.6800000000000002e-01,2.5143181649953850e-01,2.6993817758488392e-01
2.6900000000000002e-01,2.5186152347818902e-01,2.7051106744355924e-01
2.7000000000000002e-01,2.5228864061095502e-01,2.7108197328250389e-01
2.7100000000000002e-01,2.5271318024368983e-01,2.7165090827679983e-01
2.7200000000000002e-01,2.5313515459374430e-01,2.7221788547663350e-01
2.7300000000000002e-01,2.5355457575142160e-01,2.7278291780877717e-01
2.7400000000000002e-01,2.5397145568141188e-01,2.7334601807804931e-01
2.7500000000000002e-01,2.5438580622420909e-01,2.7390719896875632e-01
2.7600000000000002e-01,2.5479763909751385e-01,2.7446647304611405e-01
2.7700000000000002e-01,2.5520696589762537e-01,2.7502385275765040e-01
2.7800000000000002e-01,2.5561379810081719e-01,2.7557935043458937e-01
2.7900000000000003e-01,2.5601814706470305e-01,2.7613297829321548e-01
2.8000000000000003e-01,2.5642002402958591e-01,2.7668474843622126e-01
2.8100000000000003e-01,2.5681944011979208e-01,2.7723467285403514e-01
2.8199999999999997e-01,2.5721640634498338e-01,2.7778276342613228e-01
2.8299999999999997e-01,2.5761093360144988e-01,2.7832903192232794e-01
2.8399999999999997e-01,2.5800303267337593e-01,2.7887349000405254e-01
2.8499999999999998e-01,2.5839271423408666e-01,2.7941614922561081e-01
2.8599999999999998e-01,2.5877998884726827e-01,2.7995702103542291e-01
2.8699999999999998e-01,2.5916486696816787e-01,2.8049611677724978e-01
2.8799999999999998e-01,2.5954735894477371e-01,2.8103344769140143e-01
2.8899999999999998e-01,2.5992747501897961e-01,2.8156902491592967e-01
2.8999999999999998e-01,2.6030522532773620e-01,2.8210285948780395e-01
2.9099999999999998e-01,2.6068061990419056e-01,2.8263496234407276e-01
2.9199999999999998e-01,2.6105366867881818e-01,2.8316534432300827e-01
2.9299999999999998e-01,2.6142438148054209e-01,2.8369401616523665e-01
2.9399999999999998e-01,2.6179276803784790e-01,2.8422098851485250e-01
2.9499999999999998e-01,2.6215883797988149e-01,2.8474627192051938e-01
2.9599999999999999e-01,2.6252260083753687e-01,2.8526987683655469e-01
2.9699999999999999e-01,2.6288406604452902e-01,2.8579181362400091e-01
2.9799999999999999e-01,2.6324324293844303e-01,2.8631209255168222e-01
2.9899999999999999e-01,2.6360014076177030e-01,2.8683072379724744e-01
2.9999999999999999e-01,2.6395476866291862e-01,2.8734771744819854e-01
3.0099999999999999e-01,2.6430713569720760e-01,2.8786308350290618e-01
3.0199999999999999e-01,2.6465725082784097e-01,2.8837683187161178e-01
3.0299999999999999e-01,2.6500512292686745e-01,2.8888897237741584e-01
3.0399999999999999e-01,2.6535076077612491e-01,2.8939951475725362e-01
3.0499999999999999e-01,2.6569417306817750e-01,2.8990846866285819e-01
3.0599999999999999e-01,2.6603536840724029e-01,2.9041584366171025e-01
3.0700000000000000e-01,2.6637435531010389e-01,2.9092164923797592e-01
3.0800000000000000e-01,2.6671114220704478e-01,2.9142589479343212e-01
3.0900000000000000e-01,2.6704573744273513e-01,2.9192858964837959e-01
3.1000000000000000e-01,2.6737814927714082e-01,2.9242974304254443e-01
3.1100000000000000e-01,2.6770838588641027e-01,2.9292936413596765e-01
3.1200000000000000e-01,2.6803645536374859e-01,2.9342746200988262e-01
3.1300000000000000e-01,2.6836236572027716e-01,2.9392404566758212e-01
3.1400000000000000e-01,2.6868612488587656e-01,2.9441912403527315e-01
3.1500000000000000e-01,2.6900774071001382e-01,2.9491270596292107e-01
3.1600000000000000e-01,2.6932722096254752e-01,2.9540480022508303e-01
3.1700000000000000e-01,2.6964457333452413e-01,2.9589541552172999e-01
3.1800000000000000e-01,2.6995980543895570e-01,2.9638456047905848e-01
3.1900000000000001e-01,2.7027292481158993e-01,2.9687224365029213e-01
3.2000000000000001e-01,2.7058393891167065e-01,2.9735847351647215e-01
3.2100000000000001e-01,2.7089285512269490e-01,2.9784325848723847e-01
3.2200000000000001e-01,2.7119968075316125e-01,2.9832660690159996e-01
3.2300000000000001e-01,2.7150442303731903e-01,2.9880852702869570e-01
3.2400000000000001e-01,2.7180708913590912e-01,2.9928902706854571e-01
3.2500000000000001e-01,2.7210768613689951e-01,2.9976811515279250e-01
3.2600000000000001e-01,2.7240622105621343e-01,3.0024579934543300e-01
3.2700000000000001e-01,2.7270270083844617e-01,3.0072208764354119e-01
3.2800000000000001e-01,2.7299713235756629e-01,3.0119698797798156e-01
3.2900000000000001e-01,2.7328952241760829e-01,3.0167050821411334e-01
3.3000000000000002e-01,2.7357987775334336e-01,3.0214265615248609e-01
3.3100000000000002e-01,2.7386820503094078e-01,3.0261343952952613e-01
3.3200000000000002e-01,2.7415451084861336e-01,3.0308286601821444e-01
3.3300000000000002e-01,2.7443880173725210e-01,3.0355094322875631e-01
3.3400000000000002e-01,2.7472108416105162e-01,3.0401767870924185e-01
3.3500000000000002e-01,2.7500136451813262e-01,3.0448307994629870e-01
3.3600000000000002e-01,2.7527964914115516e-01,3.0494715436573644e-01
3.3700000000000002e-01,2.7555594429793517e-01,3.0540990933318307e-01
3.3800000000000002e-01,2.7583025619205137e-01,3.0587135215471284e-01
3.3900000000000002e-01,2.7610259096345802e-01,3.0633149007746729e-01
3.4000000000000002e-01,2.7637295468908396e-01,3.0679033029026748e-01
3.4100000000000003e-01,2.7664135338343299e-01,3.0724787992421937e-01
3.4200000000000003e-01,2.7690779299916957e-01,3.0770414605331114e-01
3.4300000000000003e-01,2.7717227942769629e-01,3.0815913569500375e-01
3.4399999999999997e-01,2.7743481849971890e-01,3.0861285581081305e-01
3.4499999999999997e-01,2.7769541598579622e-01,3.0906531330688608e-01
3.4599999999999997e-01,2.7795407759687918e-01,3.0951651503456895e-01
3.4699999999999998e-01,2.7821080898483624e-01,3.0996646779096881e-01
3.4799999999999998e-01,2.7846561574297191e-01,3.1041517831950810e-01
3.4899999999999998e-01,2.7871850340653687e-01,3.1086265331047225e-01
3.4999999999999998e-01,2.7896947745323075e-01,3.1130889940155099e-01
3.5099999999999998e-01,2.7921854330370866e-01,3.1175392317837236e-01
3.5199999999999998e-01,2.7946570632207834e-01,3.1219773117503080e-01
3.5299999999999998e-01,2.7971097181640514e-01,3.1264032987460860e-01
